cl_ord_id,symbol,side,order_type,quantity,transact_time,account_id,firm_id,ord_status
3d46ad1c-b520-49bf-bbeb-3998cb50c139,GOOGL,2,1,200,2026-02-20T09:31:07,FIRM_B_ACCT_588,FIRM_B,2
7333134b-142c-47a0-8c24-675b1cdecfa0,META,2,1,200,2026-02-20T09:31:15,FIRM_A_ACCT_494,FIRM_A,2
31483588-4a9d-4a58-ab82-3e3ffa071aba,SPY,1,1,1000,2026-02-20T09:33:00,FIRM_A_ACCT_935,FIRM_A,2
ccb99a0d-a858-4ca5-9031-3c37570783cb,META,2,1,2500,2026-02-20T09:33:08,FIRM_B_ACCT_944,FIRM_B,2
b23b67ff-f728-4af3-bb55-7263c4caaffe,MSFT,2,1,500,2026-02-20T09:33:26,FIRM_B_ACCT_491,FIRM_B,2
80edab6d-0a8b-4271-ba50-b0d9b78244f0,AAPL,1,1,500,2026-02-20T09:34:11,FIRM_A_ACCT_146,FIRM_A,2
17aaee16-22ce-48b8-9978-a755811bdb10,MSFT,1,1,1000,2026-02-20T09:35:06,FIRM_B_ACCT_432,FIRM_B,2
dc2da031-a3be-42f7-989a-91b962b2db63,MSFT,2,1,500,2026-02-20T09:35:44,FIRM_B_ACCT_145,FIRM_B,2
3903e2cd-2b74-4f13-a62b-6bf75eaf67eb,MSFT,2,1,100,2026-02-20T09:36:30,FIRM_A_ACCT_134,FIRM_A,2
84d6a820-914d-4050-a533-b4fcc1535b21,GOOGL,2,1,2500,2026-02-20T09:36:48,FIRM_A_ACCT_141,FIRM_A,2
b746008a-b53d-4c70-aba2-4d95bdeaa144,MSFT,2,1,200,2026-02-20T09:37:24,FIRM_A_ACCT_540,FIRM_A,2
0207da12-5625-4e0d-a7fc-73fa8e6b3aea,MSFT,1,1,2500,2026-02-20T09:37:26,FIRM_B_ACCT_919,FIRM_B,2
016dc633-8b61-4c32-b019-f9e218412670,TSLA,1,1,1000,2026-02-20T09:37:54,FIRM_B_ACCT_615,FIRM_B,2
f4f90460-55dc-46ef-91de-6c26976b24e9,GOOGL,2,1,500,2026-02-20T09:38:18,FIRM_A_ACCT_157,FIRM_A,2
3e3981fe-48c1-49fa-bdc9-bcaa17419b88,AAPL,1,1,100,2026-02-20T09:38:37,FIRM_A_ACCT_457,FIRM_A,2
